cant_experimento ,tiempo_promedio,Tamaño Texto Original (MB)
1,1422,0.0783
2,1449,0.0783
3,1816,0.0783
4,1467,0.0783
5,2586,0.0783
6,1480,0.0783
7,1668,0.0783
8,1367,0.0783
9,1372,0.0783
10,1400,0.0783
11,1301,0.0783
12,1350,0.0783
13,1502,0.0783
14,1440,0.0783
15,1299,0.0783
16,1398,0.0783
17,1746,0.0783
18,1325,0.0783
19,1527,0.0783
20,1901,0.0783
1,3367,0.1566
2,6412,0.1566
3,3528,0.1566
4,4702,0.1566
5,4473,0.1566
6,7038,0.1566
7,3134,0.1566
8,3930,0.1566
9,3183,0.1566
10,3292,0.1566
11,3665,0.1566
12,6449,0.1566
13,3240,0.1566
14,4814,0.1566
15,4816,0.1566
16,3126,0.1566
17,3778,0.1566
18,3163,0.1566
19,3378,0.1566
20,3120,0.1566
1,11882,0.3132
2,11880,0.3132
3,11981,0.3132
4,12318,0.3132
5,11730,0.3132
6,12282,0.3132
7,11814,0.3132
8,11825,0.3132
9,12012,0.3132
10,12182,0.3132
11,11833,0.3132
12,11650,0.3132
13,11550,0.3132
14,13303,0.3132
15,12875,0.3132
16,12517,0.3132
17,12794,0.3132
18,12744,0.3132
19,12964,0.3132
20,11710,0.3132
1,36403,0.6264
2,39134,0.6264
3,35428,0.6264
4,37222,0.6264
5,36025,0.6264
6,35943,0.6264
7,35901,0.6264
8,36423,0.6264
9,36139,0.6264
10,36082,0.6264
11,35644,0.6264
12,35846,0.6264
13,36445,0.6264
14,36507,0.6264
15,35342,0.6264
16,35303,0.6264
17,37805,0.6264
18,36130,0.6264
19,35844,0.6264
20,35739,0.6264
1,83726,1.2528
2,82829,1.2528
3,85081,1.2528
4,85126,1.2528
5,83425,1.2528
6,83010,1.2528
7,84209,1.2528
8,84148,1.2528
9,83584,1.2528
10,83538,1.2528
11,90030,1.2528
12,88895,1.2528
13,83057,1.2528
14,84550,1.2528
15,83160,1.2528
16,84176,1.2528
17,82477,1.2528
18,84587,1.2528
19,87632,1.2528
20,85803,1.2528
1,176179,2.5056
2,178029,2.5056
3,176048,2.5056
4,178796,2.5056
5,179502,2.5056
6,188400,2.5056
7,194873,2.5056
8,180092,2.5056
9,177752,2.5056
10,179725,2.5056
11,181916,2.5056
12,177360,2.5056
13,179269,2.5056
14,180854,2.5056
15,184370,2.5056
16,176283,2.5056
17,180538,2.5056
18,178130,2.5056
19,176298,2.5056
20,177592,2.5056
1,363081,5.0112
2,378902,5.0112
3,367310,5.0112
4,362942,5.0112
5,361647,5.0112
6,361984,5.0112
7,363199,5.0112
8,362745,5.0112
9,361193,5.0112
10,361977,5.0112
11,361892,5.0112
12,363317,5.0112
13,362647,5.0112
14,360344,5.0112
15,361757,5.0112
16,361290,5.0112
17,363302,5.0112
18,364365,5.0112
19,360597,5.0112
20,368749,5.0112
1,783969,10.0224
2,746294,10.0224
3,845317,10.0224
4,770696,10.0224
5,743895,10.0224
6,749899,10.0224
7,741479,10.0224
8,747039,10.0224
9,739022,10.0224
10,741719,10.0224
11,743096,10.0224
12,763698,10.0224
13,741907,10.0224
14,741706,10.0224
15,749456,10.0224
16,741950,10.0224
17,743888,10.0224
18,738656,10.0224
19,747404,10.0224
20,739954,10.0224
