cant_experimento ,tiempo_promedio,Tamaño Texto Original (MB)
1,1642456,0.0783
2,1644563,0.0783
3,1719608,0.0783
4,1712859,0.0783
5,1702031,0.0783
6,1727138,0.0783
7,1667452,0.0783
8,1738070,0.0783
9,1638992,0.0783
10,1609632,0.0783
11,1597200,0.0783
12,1648721,0.0783
13,1693867,0.0783
14,1701917,0.0783
15,1720954,0.0783
16,1685669,0.0783
17,1712013,0.0783
18,1740345,0.0783
19,1636683,0.0783
20,1796314,0.0783
1,2210940,0.1566
2,2010099,0.1566
3,1778479,0.1566
4,1819246,0.1566
5,1709160,0.1566
6,1733036,0.1566
7,1713423,0.1566
8,1683667,0.1566
9,1692250,0.1566
10,1719943,0.1566
11,1691760,0.1566
12,1751904,0.1566
13,1671021,0.1566
14,1885921,0.1566
15,1779650,0.1566
16,1792356,0.1566
17,1648430,0.1566
18,1688604,0.1566
19,1646770,0.1566
20,1639406,0.1566
1,1816647,0.3132
2,1808526,0.3132
3,1804701,0.3132
4,1808496,0.3132
5,1803180,0.3132
6,1808497,0.3132
7,1825685,0.3132
8,1809155,0.3132
9,1856519,0.3132
10,1853016,0.3132
11,1907885,0.3132
12,1980731,0.3132
13,1814320,0.3132
14,1823113,0.3132
15,1851260,0.3132
16,1827419,0.3132
17,1851544,0.3132
18,1822801,0.3132
19,1819889,0.3132
20,1821571,0.3132
1,2341722,0.6264
2,2328012,0.6264
3,2341767,0.6264
4,2350459,0.6264
5,2346446,0.6264
6,2334253,0.6264
7,2337733,0.6264
8,2339378,0.6264
9,2346183,0.6264
10,2340415,0.6264
11,2337506,0.6264
12,2384410,0.6264
13,2372423,0.6264
14,2391844,0.6264
15,2328535,0.6264
16,2343318,0.6264
17,2375672,0.6264
18,2340582,0.6264
19,2345223,0.6264
20,2381140,0.6264
1,4285706,1.2528
2,4173262,1.2528
3,4189076,1.2528
4,4168121,1.2528
5,4160077,1.2528
6,4077389,1.2528
7,4097259,1.2528
8,4077307,1.2528
9,4110001,1.2528
10,4081881,1.2528
11,4109531,1.2528
12,4187648,1.2528
13,4172256,1.2528
14,4147919,1.2528
15,4210976,1.2528
16,4210712,1.2528
17,4152773,1.2528
18,4186134,1.2528
19,4178316,1.2528
20,4082813,1.2528
1,10525200,2.5056
2,10540003,2.5056
3,10537143,2.5056
4,10510197,2.5056
5,10530965,2.5056
6,10666223,2.5056
7,11707235,2.5056
8,10608102,2.5056
9,10593127,2.5056
10,10733377,2.5056
11,10672711,2.5056
12,10585942,2.5056
13,10586573,2.5056
14,10569684,2.5056
15,10660084,2.5056
16,10786991,2.5056
17,10626653,2.5056
18,10568496,2.5056
19,10536242,2.5056
20,10525186,2.5056
1,35469180,5.0112
2,35646062,5.0112
3,35950988,5.0112
4,35434164,5.0112
5,35440309,5.0112
6,35399840,5.0112
7,35404517,5.0112
8,35397591,5.0112
9,35431828,5.0112
10,35439087,5.0112
11,35409689,5.0112
12,35498645,5.0112
13,35392632,5.0112
14,35510913,5.0112
15,35473337,5.0112
16,35527857,5.0112
17,35465713,5.0112
18,35944910,5.0112
19,35514561,5.0112
20,35503429,5.0112
1,135392494,10.0224
2,135055351,10.0224
3,138947838,10.0224
4,136309120,10.0224
5,134957719,10.0224
6,134778391,10.0224
7,134745676,10.0224
8,134888009,10.0224
9,135266215,10.0224
10,135297870,10.0224
11,134687642,10.0224
12,135042192,10.0224
13,135002048,10.0224
14,135560760,10.0224
15,135022650,10.0224
16,134991714,10.0224
17,134926740,10.0224
18,135646662,10.0224
19,134680483,10.0224
20,134976880,10.0224
