cant_experimento;estructura_dato;tipo_consulta;tamaño_ingreasado_en_MB;tiempo_promedio;espacio_salida_en_MB
20;Huffman;codificacion;0.078359;616339;0.044872
20;Huffman;decodificacion;0.044872;9127.1;0.078359
20;Huffman;codificacion;0.156718;512140;0.089744
20;Huffman;decodificacion;0.089744;17988;0.156718
20;Huffman;codificacion;0.313436;798498;0.179484
20;Huffman;decodificacion;0.179484;34943.5;0.313436
20;Huffman;codificacion;0.626872;978438;0.358968
20;Huffman;decodificacion;0.358968;70838.4;0.626872
20;Huffman;codificacion;1.25374;1.07266e+06;0.717932
20;Huffman;decodificacion;0.717932;142254;1.25374
20;Huffman;codificacion;2.50749;1.79921e+06;1.43586
20;Huffman;decodificacion;1.43586;288882;2.50749
20;Huffman;codificacion;5.01498;1.72513e+06;2.87172
20;Huffman;decodificacion;2.87172;609961;5.01498
20;Huffman;codificacion;10.03;4.12487e+06;5.74344
20;Huffman;decodificacion;5.74344;1.6003e+06;10.03
